* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Feb 21, 2023 4:29:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A plus B A = Port Near Field B = Woofer Near Field
* Measurement: Port and Woofer Near Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
744.783936	105.7508	-179.2963
750.180908	105.8389	179.672
755.617065	105.8979	178.1786
761.092529	105.8609	176.8326
766.607727	105.7909	176.1319
772.162903	105.8067	176.0884
777.758301	105.9527	176.0538
783.394287	106.1694	175.3014
789.071045	106.368	173.8905
794.789001	106.498	172.1997
800.54834	106.5656	170.4674
806.349487	106.6021	169.0313
812.192627	106.6504	167.819
818.078125	106.7084	166.6692
824.006226	106.7658	165.3566
829.977295	106.7999	163.9682
835.991699	106.7959	162.6553
842.049622	106.7602	161.4487
848.151428	106.7141	160.507
854.297485	106.6731	159.7968
860.488098	106.6371	159.0612
866.723572	106.593	158.4031
873.004211	106.544	157.928
879.330322	106.5079	157.3992
885.702332	106.4567	156.8173
892.120483	106.3647	156.4606
898.585144	106.2803	156.4629
905.09668	106.2819	156.6241
911.655396	106.3649	156.2091
918.261597	106.4074	154.5966
924.91571	106.2519	152.4373
931.618042	105.8604	151.0701
938.368896	105.3534	151.3867
945.168762	104.9326	152.7102
952.017822	104.6389	153.9713
958.916504	104.3329	155.1193
965.865234	103.9541	156.9987
972.864319	103.6382	159.9504
979.914062	103.5012	162.8996
987.014954	103.4323	164.8317
994.167236	103.2784	166.3555
1001.371399	103.0574	168.3755
1008.627747	102.8653	170.745
1015.936646	102.7083	173.2554
1023.298584	102.5703	176.1675
1030.713867	102.5191	179.512
1038.182739	102.6118	-177.1488
1045.705933	102.7888	-174.3955
1053.283447	102.9615	-172.2353
1060.916016	103.1483	-170.1302
1068.603882	103.4089	-168.2932
1076.347412	103.6939	-167.2623
1084.147095	103.9174	-167.1461
1092.003296	104.049	-167.4326
1099.916382	104.101	-167.6932
1107.886841	104.1104	-167.8603
1115.915039	104.0969	-167.9294
1124.001343	104.0509	-167.8782
1132.146362	103.9752	-167.6343
1140.350342	103.9016	-167.0299
1148.61377	103.8676	-166.182
1156.937134	103.8768	-165.4575
1165.320801	103.9091	-164.8634
1173.765137	103.9571	-164.3454
1182.270752	104.0102	-164.0018
1190.838013	104.0604	-163.6383
1199.467285	104.1304	-163.1953
1208.15918	104.2295	-162.9874
1216.91394	104.3316	-163.0298
1225.732178	104.4206	-163.2256
1234.61438	104.4866	-163.4085
1243.560913	104.5335	-163.4766
1252.572266	104.5945	-163.2258
1261.648926	104.7055	-162.7883
1270.791382	104.8494	-162.5564
1280	104.9913	-162.4103
1289.275391	105.1513	-162.1453
1298.618042	105.3541	-162.0756
1308.02832	105.5559	-162.3844
1317.506836	105.7059	-162.8648
1327.054077	105.8146	-163.3078
1336.67041	105.9053	-163.6266
1346.356567	105.9703	-163.8528
1356.112793	106.003	-163.8832
1365.939697	106.0457	-163.497
1375.837891	106.1407	-162.8985
1385.807739	106.2772	-162.5477
1395.849854	106.4059	-162.5025
1405.964844	106.4994	-162.6043
1416.152954	106.5644	-162.6826
1426.415039	106.6029	-162.8792
1436.751465	106.5874	-163.0768
1447.16272	106.5124	-162.9591
1457.649414	106.4158	-162.4794
1468.212158	106.3313	-161.6241
1478.85144	106.2923	-160.4845
1489.567871	106.3136	-159.4188
1500.361816	106.3711	-158.5772
1511.234131	106.4441	-157.9651
1522.185059	106.5134	-157.7086
1533.215454	106.5567	-157.6851
1544.325806	106.5817	-157.7251
1555.516602	106.605	-157.9421
1566.788574	106.6243	-158.3655
1578.14209	106.6383	-158.9897
1589.578003	106.6434	-159.9616
1601.09668	106.6137	-161.2755
1612.698975	106.5209	-162.7141
1624.385254	106.3799	-163.9226
1636.15625	106.246	-164.9047
1648.012451	106.1572	-165.8079
1659.95459	106.1152	-166.8283
1671.983398	106.1032	-168.1735
1684.099243	106.0953	-169.8408
1696.302856	106.0583	-171.7152
1708.594971	105.9775	-173.6403
1720.976196	105.8605	-175.3679
1733.447144	105.7205	-176.7192
1746.008423	105.5834	-177.6115
1758.660645	105.4915	-178.0137
1771.404663	105.4715	-178.1018
1784.240967	105.5235	-178.1804
1797.170288	105.6185	-178.3413
1810.193359	105.7335	-178.5454
1823.310791	105.8584	-178.8501
1836.523193	105.9784	-179.2102
1849.831421	106.0832	-179.5391
1863.236084	106.1832	-179.7493
1876.737793	106.2841	-179.9562
1890.337524	106.3779	179.8038
1904.035645	106.4499	179.5739
1917.833008	106.4939	179.3344
1931.730469	106.5127	179.1582
1945.728638	106.5167	179.0648
1959.828125	106.5115	178.8784
1974.029907	106.4793	178.6062
1988.334473	106.4113	178.3794
2002.742798	106.314	178.2802
2017.255493	106.2168	178.3947
2031.873291	106.1468	178.5635
2046.597168	106.0976	178.5108
2061.427734	106.0523	178.2143
2076.365479	105.9963	177.6953
2091.411865	105.913	176.9757
2106.566895	105.8077	176.2144
2121.832031	105.6924	175.4145
2137.207764	105.5614	174.5964
2152.694824	105.4151	173.7738
2168.294189	105.2618	173.0423
2184.006592	105.1128	172.4426
2199.832764	104.9754	171.8681
2215.773682	104.843	171.3229
2231.830078	104.705	170.8975
2248.002686	104.5607	170.61
2264.292725	104.4163	170.5527
2280.700684	104.2873	170.7256
2297.227539	104.1799	170.9346
2313.874268	104.0744	171.1528
2330.641602	103.9614	171.4716
2347.530273	103.85	171.8235
2364.541504	103.7346	172.1199
2381.676025	103.5936	172.3725
2398.93457	103.4172	172.6484
2416.318359	103.2177	173.0418
2433.827881	103.0122	173.4774
2451.464355	102.8012	173.8631
2469.22876	102.5767	174.0955
2487.121826	102.3322	174.2106
2505.144531	102.0642	174.2518
2523.297852	101.7747	174.2004
2541.582764	101.4661	174.1526
2560	101.1551	174.1759
2578.550781	100.8567	174.2037
2597.236084	100.5782	174.2505
2616.056641	100.3302	174.3408
2635.013672	100.1186	174.3844
2654.108154	99.9371	174.3944
2673.34082	99.7781	174.4812
2692.713135	99.6475	174.6311
2712.225586	99.5449	174.8354
2731.879395	99.4549	175.1353
2751.675781	99.3693	175.5571
2771.615479	99.2787	176.1997
2791.699707	99.1852	177.1368
2811.929688	99.0932	178.4262
2832.305908	99.0175	179.9735
2852.830078	98.961	-178.2919
2873.50293	98.927	-176.4453
2894.325439	98.9143	-174.6567
2915.298828	98.9097	-173.0261
2936.424316	98.8957	-171.5694
2957.702881	98.865	-170.303
2979.135742	98.8173	-169.192
3000.723633	98.7533	-168.2357
3022.468262	98.6657	-167.4611
3044.370117	98.5521	-166.7607
3066.430908	98.4171	-166.0116
3088.651611	98.2754	-165.1843
3111.033203	98.1418	-164.2232
3133.577148	98.0298	-163.1137
3156.28418	97.947	-161.9325
3179.156006	97.8934	-160.71
3202.193359	97.8617	-159.4929
3225.397949	97.8387	-158.2794
3248.770508	97.8139	-157.0713
3272.3125	97.7832	-155.7874
3296.024902	97.7522	-154.3848
3319.90918	97.7285	-152.9332
3343.966797	97.7138	-151.5046
3368.198486	97.7018	-150.1813
3392.605713	97.68	-149.0095
3417.189941	97.6483	-147.8691
3441.952393	97.6283	-146.6978
3466.894287	97.6426	-145.6145
3492.016846	97.6959	-144.682
3517.321289	97.7879	-143.9212
3542.809326	97.9132	-143.3754
3568.481934	98.0604	-142.9826
3594.340576	98.2194	-142.6354
3620.386719	98.3886	-142.2546
3646.621582	98.5729	-141.7368
3673.046387	98.7761	-141.0721
3699.662842	98.9951	-140.2837
3726.472168	99.2213	-139.4446
3753.475586	99.4475	-138.5588
3780.675049	99.6735	-137.6481
3808.071289	99.8987	-136.8212
3835.666016	100.122	-136.1359
3863.460938	100.338	-135.6222
3891.457275	100.5491	-135.3452
3919.65625	100.7594	-135.3188
3948.059814	100.9684	-135.5412
3976.668945	101.1776	-136.0245
4005.485596	101.3868	-136.6904
4034.510986	101.6048	-137.4442
4063.746582	101.837	-138.2643
4093.194336	102.0881	-139.1206
4122.855469	102.3541	-139.9931
4152.730957	102.6304	-140.889
4182.82373	102.9155	-141.772
4213.133789	103.2106	-142.6671
4243.664062	103.5146	-143.6287
4274.415527	103.8218	-144.7661
4305.389648	104.124	-146.129
4336.588379	104.412	-147.7413
4368.013184	104.6762	-149.6361
4399.665527	104.9123	-151.7674
4431.547363	105.1163	-154.0637
4463.660156	105.2875	-156.4879
4496.005371	105.4247	-158.9576
4528.585449	105.5347	-161.3939
4561.401367	105.6248	-163.8005
4594.455078	105.704	-166.1958
4627.748535	105.773	-168.6153
4661.283203	105.8321	-171.1097
4695.060547	105.8853	-173.6553
4729.083008	105.9433	-176.2186
4763.352051	106.0264	-178.8267
4797.869141	106.1545	178.4887
4832.636719	106.3367	175.6276
4867.655762	106.5657	172.4723
4902.928711	106.8108	168.8937
4938.45752	107.031	164.8894
4974.243652	107.186	160.6605
5010.289062	107.264	156.4673
5046.595703	107.2832	152.5185
5083.165527	107.2802	148.8529
5120	107.2803	145.2967
5157.101562	107.2995	141.6868
5194.472168	107.3415	137.8977
5232.113281	107.4036	133.8064
5270.027344	107.4737	129.3698
5308.216309	107.5257	124.6676
5346.681641	107.5377	119.7962
5385.42627	107.4929	114.876
5424.451172	107.381	109.9857
5463.758789	107.193	105.1316
5503.351562	106.9131	100.2895
5543.230957	106.5332	95.5335
5583.399414	106.0532	90.9854
5623.859375	105.4833	86.7579
5664.611816	104.8464	82.9972
5705.660156	104.1744	79.7986
5747.005859	103.4945	77.1734
5788.650879	102.8076	75.278
5830.597656	102.0686	74.765
5872.848633	101.2337	77.0201
5915.405762	100.3708	83.4213
5958.271484	99.6538	93.761
6001.447266	99.1599	105.7613
6044.936523	98.808	116.0988
6088.740234	98.525	122.4215
6132.861816	98.289	124.8037
6177.303223	98.0831	124.8625
6222.066406	97.9002	124.0167
6267.154297	97.7402	122.9904
6312.568359	97.5942	121.9496
6358.312012	97.4253	120.8671
6404.386719	97.1873	119.7083
6450.795898	96.8374	118.3997
6497.541016	96.3485	116.9184
6544.625	95.7065	115.2953
6592.049805	94.9036	113.7302
6639.818359	93.9337	112.8182
6687.933594	92.8047	113.6204
6736.396973	91.5537	117.542
